id,code,name,rate_ids/id
rate_type_list_0,0,"0: Ordinary Day","occ_payroll_config.rate_type_config_ordinary_day"
rate_type_list_1,1,"1: Rest Day","occ_payroll_config.rate_type_config_rest_day"
rate_type_list_2,2,"2: Special Day","occ_payroll_config.rate_type_config_special_day_rest_day"
rate_type_list_3,3,"3: Special Day falling on rest day","occ_payroll_config.rate_type_config_special_day_rest_day"
rate_type_list_4,4,"4: Regular Holiday","occ_payroll_config.rate_type_config_regular_holiday"
rate_type_list_5,5,"5: Regular Holiday falling on rest day","occ_payroll_config.rate_type_config_regular_holiday_rest_day"
rate_type_list_6,6,"6: Double Holiday","occ_payroll_config.rate_type_config_double_holiday"
rate_type_list_7,7,"7: Double Holiday falling on rest day","occ_payroll_config.rate_type_config_double_holiday_rest_day"
rate_type_list_8,8,"8: Ordinary Day, night shift","occ_payroll_config.rate_type_config_ordinary_day,occ_payroll_config.rate_type_config_night_shift"
rate_type_list_9,9,"9: Rest Day, night shift","occ_payroll_config.rate_type_config_rest_day,occ_payroll_config.rate_type_config_night_shift"
rate_type_list_10,10,"10: Special Day, night shift","occ_payroll_config.rate_type_config_special_day_rest_day,occ_payroll_config.rate_type_config_night_shift"
rate_type_list_11,11,"11: Special Day, rest day, night shift","occ_payroll_config.rate_type_config_special_day_rest_day,occ_payroll_config.rate_type_config_rest_day,occ_payroll_config.rate_type_config_night_shift"
rate_type_list_12,12,"12: Regular Holiday, night shift","occ_payroll_config.rate_type_config_regular_holiday,occ_payroll_config.rate_type_config_night_shift"
rate_type_list_13,13,"13: Regular Holiday, rest day, night shift","occ_payroll_config.rate_type_config_regular_holiday,occ_payroll_config.rate_type_config_regular_holiday_rest_day,occ_payroll_config.rate_type_config_night_shift"
rate_type_list_14,14,"14: Double Holiday, night shift","occ_payroll_config.rate_type_config_double_holiday,occ_payroll_config.rate_type_config_night_shift"
rate_type_list_15,15,"15: Double Holiday, rest day, night shift","occ_payroll_config.rate_type_config_double_holiday,occ_payroll_config.rate_type_config_rest_day,occ_payroll_config.rate_type_config_night_shift"
rate_type_list_16,16,"16: Ordinary Day, overtime","occ_payroll_config.rate_type_config_ordinary_day,occ_payroll_config.rate_type_config_overtime"
rate_type_list_17,17,"17: Rest Day, overtime","occ_payroll_config.rate_type_config_rest_day,occ_payroll_config.rate_type_config_overtime"
rate_type_list_18,18,"18: Special Day, overtime","occ_payroll_config.rate_type_config_special_day,occ_payroll_config.rate_type_config_overtime"
rate_type_list_19,19,"19: Special Day, rest day, overtime","occ_payroll_config.rate_type_config_special_day,occ_payroll_config.rate_type_config_rest_day,occ_payroll_config.rate_type_config_overtime"
rate_type_list_20,20,"20: Regular Holiday, overtime","occ_payroll_config.rate_type_config_regular_holiday,occ_payroll_config.rate_type_config_overtime"
rate_type_list_21,21,"21: Regular Holiday, rest day, overtime","occ_payroll_config.rate_type_config_regular_holiday,occ_payroll_config.rate_type_config_rest_day,occ_payroll_config.rate_type_config_overtime"
rate_type_list_22,22,"22: Double Holiday, overtime","occ_payroll_config.rate_type_config_double_holiday,occ_payroll_config.rate_type_config_overtime"
rate_type_list_23,23,"23: Double Holiday, rest day, overtime","occ_payroll_config.rate_type_config_double_holiday,occ_payroll_config.rate_type_config_rest_day,occ_payroll_config.rate_type_config_overtime"
rate_type_list_24,24,"24: Ordinary Day, night shift, OT","occ_payroll_config.rate_type_config_ordinary_day,occ_payroll_config.rate_type_config_night_shift,occ_payroll_config.rate_type_config_overtime"
rate_type_list_25,25,"25: Rest Day, night shift, OT","occ_payroll_config.rate_type_config_rest_day,occ_payroll_config.rate_type_config_night_shift,occ_payroll_config.rate_type_config_overtime"
rate_type_list_26,26,"26: Special Day, night shift, OT","occ_payroll_config.rate_type_config_special_day,occ_payroll_config.rate_type_config_night_shift,occ_payroll_config.rate_type_config_overtime"
rate_type_list_27,27,"27: Special Day, rest day, night shift, OT","occ_payroll_config.rate_type_config_special_day,occ_payroll_config.rate_type_config_rest_day,occ_payroll_config.rate_type_config_night_shift,occ_payroll_config.rate_type_config_overtime"
rate_type_list_28,28,"28: Regular Holiday, night shift, OT","occ_payroll_config.rate_type_config_regular_holiday,occ_payroll_config.rate_type_config_night_shift,occ_payroll_config.rate_type_config_overtime"
rate_type_list_29,29,"29: Regular Holiday, rest day, night shift, OT","occ_payroll_config.rate_type_config_regular_holiday,occ_payroll_config.rate_type_config_rest_day,occ_payroll_config.rate_type_config_night_shift,occ_payroll_config.rate_type_config_overtime"
rate_type_list_30,30,"30: Double Holiday, night shift, OT","occ_payroll_config.rate_type_config_double_holiday,occ_payroll_config.rate_type_config_night_shift,occ_payroll_config.rate_type_config_overtime"
rate_type_list_31,31,"31: Double Holiday, rest day, night shift, OT","occ_payroll_config.rate_type_config_double_holiday,occ_payroll_config.rate_type_config_rest_day,occ_payroll_config.rate_type_config_night_shift,occ_payroll_config.rate_type_config_overtime"
